Hanzi	Definition	Pinyin	Pinyin2	HSK	Formation	Examples
米	rice, meter, surname Mi, Kangxi radical 119	mǐ		1	Pictograph - Picture of rice grains	米饭[mǐfàn]: (cooked) rice<br>厘米[límǐ]: centimeter<br>玉米[yùmǐ]: maize, corn
围	to circle, to surround	wéi		4	Pictophonetic - Circle 囗 with the phonetic component 韦	周围[zhōuwéi]: surroundings, environment, to encompass<br>围巾[wéijīn]: scarf, shawl<br>围绕[wéirào]: to revolve around, to center on (an issue)
江	large river, surname Jiang	jiāng		4	Pictophonetic - water 氵(river) with 工 (phonetic)	长江[chángjiāng]: Changjiang River, Yangtze River<br>江湖[jiānghú]: rivers and lakes, around the whole country, vagrant, itinerant (esp. entertainer, swindler<br>江南[jiāngnán]: south of Changjiang or Yangtze river
织	to weave, to knit, to organize, to unite	zhī		5	Pictophonetic - Thead 纟 provides the meaning while 只 provides the sound	组织[zǔzhī]: organize, form, organization<br>纺织[fǎngzhī]: spinning and weaving<br>编织[biānzhī]: to weave, to knit, to plait, to braid
害	to do harm to, to cause trouble to, harm, evil, calamity	hài		3	Ideograph - Mouth 口 stuffed with something in a house 宀.	害怕[hàipà]: to be afraid, to be scared<br>厉害[lìhai]: difficult to deal with, difficult to endure, ferocious, radical, serious<br>害羞[hàixiū]: blush, shy
斗	to fight, decaliter, dipper, Kangxi radical number 68	dòu	dǒu	5	Pictograph - Picture of a measuring dipper with handle	奋斗[fèndòu]: to strive, to struggle<br>战斗[zhàndòu]: fight, battle, combat, action<br>搏斗[bódòu]: to wrestle, to fight, to struggle
双	two, double, pair, both, surname Shuang	shuāng		3	Ideograph - two handes 又	双方[shuāngfāng]: bilateral, both sides<br>双胞胎[shuāngbāotāi]: twins<br>双手[shuāngshǒu]: pair of hands
境	border, place, condition, boundary, circumstances	jìng		3	Pictophonetic - Ground 土 suggests the meaning while 竟 provides the pronunciation.	环境[huánjìng]: environment, surroundings<br>境界[jìngjiè]: boundary, state, realm<br>处境[chǔjìng]: plight, unfavorable situation
客	customer, visitor, guest, traveller, objective	kè		1	Pictophonetic - House 宀 suggests the meaning while 各 provides the pronunciation.	不客气[bùkèqi]: you're welcome, impolite, rude, blunt, don't mention it<br>客人[kèrén]: visitor, guest<br>客厅[kètīng]: living room
纪	discipline, age, era, period, order	jì	jǐ	4	Pictophonetic - Strings 纟 with 己 (phonetic)	世纪[shìjì]: century<br>年纪[niánjì]: age<br>纪录[jìlù]: record
采	to collect, to gather, to pick, to pluck	cǎi	cài	5	Ideograph - Using hands 爫 to pick fruits from a tree 木	采取[cǎiqǔ]: to adopt or carry out (measures, policies, course of action), to take<br>采访[cǎifǎng]: to interview, to gather news, to hunt for and collect, to cover<br>兴高采烈[xìnggāocǎiliè]: spirits-high-mood-ardent, be in high spirits, be raptured
举	to lift, to hold up, to cite, to enumerate, to act	jǔ		4	Pictophonetic - Simlified form of 舉. Hand 扌 (altered) suggests the meaning while 與 provides the sound.	举办[jǔbàn]: to conduct, to hold<br>举行[jǔxíng]: to hold (a meeting, ceremony etc)<br>一举两得[yījǔliǎngdé]: one move, two gains, two birds with one stone
杀	to kill, to murder, to slaughter, to hurt	shā		5	Pictophonetic - Simplified form of 殺, hit 殳 with a knife, 杀 provides sound	抹杀[mǒshā]: to erase, to cover traces, to obliterate evidence, to expunge, to blot out<br>凶杀[xiōngshā]: to murder<br>屠杀[túshā]: to massacre, massacre, bloodbath, carnage
攻	to attack, to accuse, to study, to assault, to criticize	gōng		6	Pictophonetic - Study with hand 攵, work 工 provides sound	攻克[gōngkè]: to capture, to take<br>攻击[gōngjī]: to attack, to accuse, to charge, an attack (terrorist or military)<br>进攻[jìngōng]: to attack, to assault, to go on the offensive, attack, assault
父	father, dad, KangXi radical number 88	fù		4	Pictograph - Picture of hand with ax	父亲[fùqīn]: father<br>祖父[zǔfù]: father's father, paternal grandfather<br>父母[fùmǔ]: father and mother, parents
苏	to revive, to resurrect, to awake, to rest, purple perilla	sū		6	Pictophonetic - Simplified form of 蘇, grass 艹 with 稣 (phonetic). 稣 component is simplified as 办	苏醒[sūxǐng]: to wake up, to regain consciousness<br>苏格兰[sūgélán]: Scotland<br>复苏[fùsū]: to recover (health, economic), to resuscitate, anabiosis
密	secret, confidential, close, thick, dense	mì		4	Pictophonetic - Quiet 宓 and mountain 山 suggest the meaning while 必 provides the pronunciation.	密码[mìmǎ]: code, secret code, password, pin number<br>密切[mìqiè]: close, familiar, intimate, closely (related), to foster close ties<br>秘密[mìmì]: confidential, secret
低	to lower (one's head), to let droop, to hang down, low, to incline	dī		4	Pictophonetic - Person 亻with the phonetic component 氐	降低[jiàngdī]: to reduce, to lower, to bring down<br>贬低[biǎndī]: to belittle, to disparage, to play down, to demean, to degrade<br>低估[dīgū]: underestimate, underrate
朝	to face, towards, facing, direct, a dynasty	cháo	zhāo	5	Pictophonetic - Month 月 suggests the meaning while  provides the pronunciation.	朝代[cháodài]: dynasty, reign (of a king)<br>朝气蓬勃[zhāoqìpéngbó]: full of youthful energy, vigorous, energetic, a bright spark<br>有朝一日[yǒuzhāoyīrì]: one day, sometime in the future
友	friend, companion, fraternity	yǒu		1	Ideograph - two hands 又 indicating friendship	朋友[péngyǒu]: friend<br>友好[yǒuhǎo]: friendly (relations)<br>友谊[yǒuyì]: companionship, fellowship, friendship
诉	to accuse, to sue, to inform, to narrate, to tell	sù		2	Pictophonetic - Speech 讠 with the phonetic component 斥 (blame)	告诉[gàosu]: to tell, to inform, to let know<br>投诉[tóusù]: complaint<br>诉讼[sùsòng]: lawsuit
止	stop, halt, desist, detain, Kangxi radical number 77	zhǐ		4	Pictograph - Picture of a foot	禁止[jìnzhǐ]: to prohibit, to forbid, to ban<br>阻止[zǔzhǐ]: to prevent, to block<br>不止[bùzhǐ]: incessantly, without end, more than, not limited to
细	fine, tiny, slender, thin	xì		4	Pictophonetic - Thread 纟 suggests the meaning while 田 provides the sound	仔细[zǐxì]: careful, attentive, cautious<br>详细[xiángxì]: detailed, in detail, minute<br>细节[xìjié]: detail, specific
愿	hope, wish, desire, ready, willing	yuàn		3	Pictophonetic - Heart 心 suggests the meaning while 原 provides the pronunciation.	愿意[yuànyì]: to wish, to want, ready, willing (to do something)<br>志愿者[zhìyuànzhě]: volunteer<br>愿望[yuànwàng]: desire, wish
千	thousand, many, numerous, very, a swing	qiān		2	Ideograph - ten 十 lifespans of person 人	千万[qiānwàn]: ten million, countless, many, one must by all means<br>千方百计[qiānfāngbǎijì]: lit. thousand ways, a hundred plans, by every possible means<br>几千[jǐqiān]: several thousands
值	price, value, (to be) worth, to happen	zhí		4	Pictophonetic - Person 亻 suggests the meaning while 直 provides the pronunciation.	值得[zhíde]: to be worth, to deserve<br>价值[jiàzhí]: worth, value<br>值班[zhíbān]: to work a shift, on duty
仍	still, yet, to remain, again, keep -ing	réng		4	Pictophonetic - A person 人 with 乃 phonetic	仍然[réngrán]: still, yet<br>仍旧[réngjiù]: still (remaining), to remain (the same), yet
男	male, a man, a boy, a son	nán		2	Ideograph - Strong 力 with farm field 田, suggesting a person who can work on the field	男人[nánrén]: man, male<br>男友[nányǒu]: boyfriend<br>男士[nánshì]: man, gentleman
钱	money, currency, coins, surname Qian	qián		1	Pictophonetic - Metal 钅 suggests the meaning while 戋 provides the pronunciation.	零钱[língqián]: change (of money), small change, pocket money<br>压岁钱[yāsuìqián]: money given to children as new year present<br>本钱[běnqián]: capital
破	to break, to split, to ruin, to destroy, to rout	pò		4	Pictophonetic - Rock 石 suggests the meaning while 皮 provides the pronunciation.	破产[pòchǎn]: to go bankrupt, to become impoverished, bankruptcy<br>破坏[pòhuài]: destruction, damage, to wreck, to break, to destroy<br>突破[tūpò]: to break through, to make a breakthrough, to surmount or break the back of (a task etc), (of ball sports) to break through a defense
网	net, network, KangXi radical 122	wǎng		3	Pictograph - Picture of a net	上网[shàngwǎng]: to be on the internet, to stretch a net (in a sports game or for covering something), to be netted (of fish)<br>互联网[hùliánwǎng]: the Internet<br>网球[wǎngqiú]: tennis ball, tennis
热	heat, to heat up, fervent, hot (of weather), to warm up	rè		1	Pictophonetic - Fire 灬 suggests the meaning while 执 provides the pronunciation.	热情[rèqíng]: cordial, enthusiastic, passion, passionate, passionately<br>热闹[rènao]: bustling with noise and excitement, lively<br>热心[rèxīn]: enthusiasm, zeal, zealous, zest, enthusiastic
助	to help, to assist, to aid, assistance	zhù		2	Pictophonetic - Strength 力 with 且 (phonetic)	帮助[bāngzhù]: assistance, aid, to help, to assist<br>借助[jièzhù]: to draw support from, with the help of<br>助手[zhùshǒu]: assistant, helper
倒	to fall, to collapse, to topple, to fail, to pour	dǎo	dào	4	Pictophonetic - A person falls. Person 亻 suggests the meaning while 到 provides the pronunciation.	倒霉[dǎoméi]: have bad luck, be out of luck<br>摔倒[shuāidǎo]: to fall down, to slip and fall, a throw (in wrestling)<br>倒闭[dǎobì]: to go bankrupt, to close down
育	to produce, to give birth to, to educate	yù		3	Ideograph - Flesh 月 suggests a baby while the upper part represents the upper part of woman body	体育[tǐyù]: sports, physical education<br>教育[jiàoyù]: to educate, to teach, education<br>发育[fāyù]: to develop, growth, development
属	category, genus (taxonomy), family members, dependents, to belong to	shǔ	zhǔ	5	Pictophonetic - Body 尸 suggests the meaning while 禹 provides the pronunciation.	属于[shǔyú]: classified as, to belong to, to be part of<br>金属[jīnshǔ]: metal<br>下属[xiàshǔ]: subordinate, underling
坐	sit, take a seat, ride, travel by	zuò		1	Ideograph - Two persons 从 sitting on the ground 土	乘坐[chéngzuò]: to ride (in a vehicle)<br>坐下[zuòxia]: sit down<br>坐牢[zuòláo]: imprisonment, imprisoned
帝	supreme ruler, king, emperor, god	dì		6	Pictophonetic - An emperor is usually well-dressed 巾. A variant of 立 provides the sound	皇帝[huángdì]: emperor<br>上帝[shàngdì]: God<br>帝国[dìguó]: empire, imperial
限	boundary, limit, bound	xiàn		5	Pictophonetic - City 阝 provides the meaning while 艮 suggests the sound	限制[xiànzhì]: confine, restrict, limit, restriction<br>局限[júxiàn]: to limit, to confine, to restrict something within set boundaries<br>期限[qīxiàn]: time limit, deadline, allotted time
船	ship, boat, vessel	chuán		3	Pictophonetic - Boat 舟 suggests the meaning while 口 provides the pronunciation.	船舶[chuánbó]: shipping, boats<br>轮船[lúnchuán]: steamship, ship<br>船上[chuánshàng]: aboard
脸	face, cheek, reputation	liǎn		3	Pictophonetic - Flesh 月 suggests the meaning while 佥 provides the pronunciation.	丢脸[diūliǎn]: loss of face, humiliation<br>脸色[liǎnsè]: complexion, look<br>不要脸[bùyàoliǎn]: have no sense of shame, shameless
职	duty, profession, office, post	zhí		4	Pictophonetic - Ear 耳 suggests the meaning while 只 provides the pronunciation.	职业[zhíyè]: occupation, profession, vocation, professional<br>兼职[jiānzhí]: to hold concurrent posts, part-time, concurrent job, moonlighting<br>辞职[cízhí]: to resign
速	fast, rapid, quick, prompt, speedy	sù		4	Pictophonetic - Walk 辶 suggests the meaning while 束 provides the pronunciation.	速度[sùdù]: speed<br>高速公路[gāosùgōnglù]: expressway, highway, freeway<br>迅速[xùnsù]: rapid, speedy, fast
刻	to carve, to engrave, to cut, quarter (hour), moment	kè		3	Pictophonetic - Carve with a knife 刂. 亥 provides the sound	刻苦[kèkǔ]: hardworking, assiduous<br>时刻[shíkè]: moment<br>深刻[shēnkè]: profound, deep, deep-going
乐	happy, laugh, cheerful, glad, enjoyable	lè	yuè	2	Pictograph - Simplified form of 樂, a music instrument made of wood 木 and strings 幺	快乐[kuàilè]: happy, merry<br>音乐[yīnyuè]: music<br>乐器[yuèqì]: musical-instrument, musical instrument
否	not, no, negative, final particle	fǒu	pǐ	4	Pictophonetic - no 不 with mouth 口 (phonetic)	否则[fǒuzé]: if not, otherwise, else, or else<br>是否[shìfǒu]: whether (or not), if, is or isn't<br>否定[fǒudìng]: negate, deny
刚	hard, firm, strong, just, barely	gāng		3	Pictophonetic - Knife 刂 with 冈 (phonetic)	刚才[gāngcái]: just now, a moment ago<br>刚刚[gānggang]: just recently, just a moment ago<br>刚好[gānghǎo]: just, exactly, happen to be
威	power, might, prestige, powerful, dominate	wēi		5	Ideograph - Woman 女 and kill 威	威胁[wēixié]: to threaten, to menace<br>威信[wēixìn]: prestige, reputation, trust, credit with the people<br>威力[wēilì]: might, formidable power
毛	hair, fur, feather, dime (one-tenth of yuan), Kangxi radical number 82	máo		4	Pictograph - Picture of feather	毛巾[máojīn]: towel<br>羽毛球[yǔmáoqiú]: badminton<br>毛病[máobìng]: trouble, breakdown, shortcoming
状	appearance, look, shape, form, condition	zhuàng		5	Pictophonetic - Simplified form of 狀, dog 犬 with the phonetic component 丬	形状[xíngzhuàng]: shape, figure, form<br>状况[zhuàngkuàng]: condition, state, situation<br>状态[zhuàngtài]: state, condition
率	to command, to lead, ratio, rate, proportion	lǜ	shuài	5	Pictograph - Picture of threads representing by 幺 with 亠 and 十 representing frames	坦率[tǎnshuài]: frank (discussion), blunt, open<br>效率[xiàolǜ]: efficiency<br>汇率[huìlǜ]: exchange rate
甚	great extent, considerably, very, extremely, more (than)	shèn	shén	4	Ideograph - Sweatness 甘 with marriage match 匹	甚至[shènzhì]: even, so much so that<br>甚至于[shènzhìyú]: and even, it goes so far that<br>更有甚者[gèngyǒushènzhě]: furthermore
独	alone, independent, single, sole, solitary	dú		5	Pictophonetic - Dog 犭 suggests the meaning while 虫 provides the pronunciation.	单独[dāndú]: alone, by oneself, on one's own<br>独特[dútè]: unique, distinct, having special characteristics<br>独立[dúlì]: independent, independence, to stand alone
球	ball, sphere, globe, round	qiú		2	Pictophonetic - Jade 王 suggests the meaning while 求 provides the pronunciation.	乒乓球[pīngpāngqiú]: table tennis<br>地球[dìqiú]: earth<br>网球[wǎngqiú]: tennis ball, tennis
般	sort, kind, class, way, manner	bān		3	Phonetic loan - from 盘 (tray)	一般[yībān]: general, ordinary, common<br>一般来说[yībānláishuō]: generally speaking<br>般配[bānpèi]: to be well matched, to suit
普	general, popular, everywhere, universal, widespread	pǔ		4	Ideograph - Togather 並 under the Sun 日.	普通话[pǔtōnghuà]: Mandarin (common language), Putonghua (common speech of the Chinese language), ordinary speech<br>普遍[pǔbiàn]: universal, general, widespread, common<br>普及[pǔjí]: popular, to popularize, universal, ubiquitous, pervasive
怕	to fear, to be afraid, apprehensive	pà		3	Pictophonetic - Heart 忄 represents the meaning while 白 provides the sound	害怕[hàipà]: to be afraid, to be scared<br>恐怕[kǒngpà]: fear, to dread, I'm afraid that..., perhaps, maybe<br>可怕[kěpà]: awful, dreadful, fearful, formidable, frightful
弹	bomb, pellet, bullet, shot, shell	dàn	tán	4	Pictophonetic - Bow 弓 suggests the meaning while 单 provides the pronunciation.	子弹[zǐdàn]: ball-bullet, bullet, cartridge<br>导弹[dǎodàn]: guided missile<br>弹性[tánxìng]: flexibility, elasticity (physics)
校	school, to proofread, to check, to compare, military field officer	xiào	jiào	1	Pictophonetic - Wood 木 suggests the meaning while 交 provides the pronunciation.	学校[xuéxiào]: school<br>校长[xiàozhǎng]: headmaster, schoolmaster<br>上校[shàngxiào]: high ranking officer in Chinese army, colonel
苦	bitter, hardship, suffering, intensely, miserable	kǔ		4	Pictophonetic - Grass indicates the meaning while 古 provides the sound	辛苦[xīnkǔ]: hard, exhausting, with much toil, thanks for your trouble<br>刻苦[kèkǔ]: hardworking, assiduous<br>痛苦[tòngkǔ]: painful, suffering
创	establish, create, a wound, cut, injury	chuàng	chuāng	5	Pictophonetic - Pictophonetic, knife刂 with 仓 (phonetic)	创造[chuàngzào]: create, creation<br>创业[chuàngyè]: to begin an undertaking, to start a major task, to initiate, to venture, venture<br>创作[chuàngzuò]: create, write, creative work
假	fake, false, artificial, to borrow, if	jiǎ	jià	3	Pictophonetic - Person 亻 suggests the meaning while 叚 provides the pronunciation.	请假[qǐngjià]: to request leave of absence<br>寒假[hánjià]: winter vacation<br>假如[jiǎrú]: if
久	(long) time, (long) duration of time	jiǔ		3	Pictograph - a form of foot which detains someone from walking	悠久[yōujiǔ]: established, long<br>持久[chíjiǔ]: lasting, enduring, persistent, permanent, protracted<br>不久[bùjiǔ]: not long (after), before too long, soon, soon after
错	error, blunder, mistake, fault, cross	cuò		2	Pictophonetic - Metal 钅 suggests the meaning while 昔 provides the pronunciation.	错误[cuòwù]: mistake, error, fault<br>不错[bùcuò]: correct, right, not bad, pretty good<br>没错[méicuò]: that's right, sure!, rest assured!, that's good, can't go wrong
承	to bear, to carry, to hold, to continue, to undertake	chéng		5	Ideograph - Three hands 手 lift a person 了.	承受[chéngshòu]: to bear, to support, to inherit<br>承担[chéngdān]: to undertake, to assume (responsibility etc)<br>承认[chéngrèn]: to admit, to concede, to recognize, recognition (diplomatic, artistic etc)
印	imprint, stamp, seal, mark, print	yìn		4	Pictograph - A hand 爪 over a kneeling person 卩, suggesting press	印象[yìnxiàng]: impression<br>复印[fùyìn]: duplicate, copy<br>打印[dǎyìn]: to print, to seal, to stamp
晚	evening, night, late, junior	wǎn		2	Pictophonetic - Sun 日 suggests the meaning while 免 provides the pronunciation.	晚上[wǎnshàng]: evening, night<br>傍晚[bàngwǎn]: in the evening, when night falls, towards evening, at night fall, at dusk<br>今晚[jīnwǎn]: tonight
兰	orchid (Cymbidium goeringii), fragrant thoroughwort ( Eupatorium fortunei), lily magnolia, elegant, graceful	lán			Pictophonetic - Simplified form of 蘭, a kind of plant 艹 with 闌 phonetic	爱尔兰[àiěrlán]: Ireland<br>苏格兰[sūgélán]: Scotland<br>英格兰[yīnggélán]: England
试	to test, to try, experiment, examination, test	shì		2	Pictophonetic - Speak 讠 represents the meaning while 式 provides the sound	考试[kǎoshì]: examine, test, examination<br>试卷[shìjuàn]: examination paper<br>尝试[chángshì]: attempt, try
股	share, portion, section, part, thighs	gǔ		5	Pictophonetic - Flesh 月 with the phonetic component 殳	股票[gǔpiào]: share, stock (market)<br>屁股[pìgu]: buttocks, bottom, butt, back part<br>股东[gǔdōng]: shareholder, stockholder
拿	to hold, to seize, to catch, to apprehend, to take	ná		3	Pictophonetic - Hand 手 suggests the meaning while 合 provides the pronunciation.	拿手[náshǒu]: expert in, good at<br>加拿大[jiānádà]: Canada, Canadian<br>拿下[náxià]: to arrest, to capture, to seize, to win (a set, a game etc)
脑	brain	nǎo		1	Pictophonetic - Flesh 月 suggests the meaning while the right part of the character provides the pronunciation.	电脑[diànnǎo]: computer<br>脑袋[nǎodài]: head<br>伤脑筋[shāngnǎojīn]: knotty, troublesome, bothersome
预	to advance, in advance, beforehand, to prepare, to arrange	yù		4	Pictophonetic - Page 页 suggests the meaning while 予 provides the pronunciation.	预习[yùxí]: preview, prepare lessons<br>预报[yùbào]: beforehand-report, predict, forecast, prediction<br>预订[yùdìng]: to book, to subscribe for
谁	who, whom, whose, whoever	shéi	shuí	1	Pictophonetic - Speak 讠 suggests the meaning while 隹 provides the pronunciation.	鹿死谁手[lùsǐshéishǒu]: to whom the deer falls, the one to emerge victor (i.e. to seize the empire), prize winner, champion
益	beneficial, useful, profit, benefit, advantage	yì		5	Phonetic loan - from 溢 (overflow)	利益[lìyì]: benefit<br>收益[shōuyì]: earnings, profit<br>效益[xiàoyì]: benefit , effectiveness, efficiency
阳	sun, male, light, positive, open	yáng		3	Pictophonetic - Simplified form of 陽, sunny side of slope 阝, 昜 is the phonetic component	太阳[tàiyáng]: the sun<br>阳光[yángguāng]: sunlight, sunshine<br>阳台[yángtái]: balcony, porch
若	if, supposing, assuming, to seem, like	ruò		6	Ideograph - Grass 艹 picked by right hand 右	倘若[tǎngruò]: supposing, if, in case<br>若干[ruògān]: a certain number or amount, how many?, how much?<br>受宠若惊[shòuchǒngruòjīng]: overwhelmed by favor from superior (humble expr.)
哪	which? where? how?	nǎ	něi, né	1	Pictophonetic - Mouth 口 suggests the meaning while 那 provides the pronunciation.	哪儿[nǎér]: where<br>哪怕[nǎpà]: even if<br>哪个[nǎgè]: which
微	micro, tiny, miniature, small, prefix micro-	wēi		4	Pictophonetic - Small steps 彳 suggests the meaning while the rest of the character provides the pronunciation.	稍微[shāowēi]: a little bit<br>微笑[wēixiào]: smile<br>微不足道[wēibùzúdào]: negligible, insignificant
尼	a nun	ní			Pictograph - Picture of a person 尸 sitting 匕 prays	威尼斯[jiā lì fú ní yà]: California (US state)<br>弗吉尼亚[wēinísī]: Venice<br>悉尼[fújíníyà]: Virginia(US state)
继	to continue, to follow after, then, afterwards, to go on with	jì		4	Ideograph - one after another, like a string 纟 of rice-like 米 particles	继续[jìxù]: to continue, to proceed with, to go on with<br>继承[jìchéng]: to inherit, to carry on, to succeed<br>继承人[jìchéngrén]: heir, successor
送	to see off, to send off, to dispatch, to give	sòng		2	Ideograph - A person 关 walks 辶 to see somebody off	赠送[zèngsòng]: give as a present, present as a gift<br>传送[chuánsòng]: to convey, to deliver<br>发送[fāsòng]: to transmit, to dispatch
急	hurried, worried, quick, quickly, urgent	jí		3	Pictophonetic - 心 suggests the meaning while 刍 (ancient form of 及 ) provides the pronunciation.	着急[zháojí]: to worry, to feel anxious, Taiwan pron. zhao1 ji2<br>急忙[jímáng]: hastily<br>急诊[jízhěn]: emergency call, emergency (medical) treatment
血	blood, KangXi radical number 143	xuè	xiě	5	Pictograph - a bowl 皿 of blood 丿	心血[xīnxuè]: heart's blood, expenditure (for some project), meticulous care<br>血压[xuèyā]: blood pressure<br>吸血[xīxiě]: to suck blood
惊	to be frightened, to be scared, alarm, surprise, startle	jīng		4	Pictophonetic - Heart 忄 suggests the meaning while 京 provides the pronunciation.	吃惊[chījīng]: to be startled, to be shocked, to be amazed<br>惊动[jīngdòng]: alarm, alert, disturb<br>惊奇[jīngqí]: to be amazed, to be surprised, to wonder
伤	injure, injury, wound, fall ill from	shāng		4	Pictophonetic - Simplified form of 傷, a person 人 getting injured, 昜 provides sound	伤心[shāngxīn]: to grieve, broken-hearted<br>伤害[shānghài]: injure, harm<br>受伤[shòushāng]: to sustain injuries, wounded (in an accident etc), harmed
素	plain, white (silk), plain, vegetarian, formerly	sù		5	Ideograph - Thread 糸 hanging on a tree branch (the top part)	因素[yīnsù]: factor, element<br>元素[yuánsù]: element, element of a set, chemical element<br>朴素[pǔsù]: plain and simple, unadorned, simple living, not frivolous
药	drugs, pharmaceuticals, medicine, medicated	yào		2	Pictophonetic - Plant 艹 suggests the meaning while 约 provides the pronunciation.	火药[huǒyào]: gunpowder<br>毒药[dúyào]: poison<br>炸药[zhàyào]: explosive (substance)
适	to fit, to suit, appropriate, suitable	shì		4	Pictophonetic - Walk 辶 suggests the meaning while 舌 provides the pronunciation.	合适[héshì]: appropriate, right, suitable<br>适合[shìhé]: to fit, to suit<br>适应[shìyìng]: to suit, to fit, to be suitable, to adapt, to get used to something
波	wave, ripple, storm, surge	bō		6	Pictophonetic - Water 氵waves. 皮 provides the sound	奔波[bēnbō]: to rush about, to be constantly on the move<br>波浪[bōlàng]: wave<br>波涛[bōtāo]: great waves, billows
夜	night, dark, in night, by night	yè		5	Ideograph - Night is when people 亻 stay indoors 亠 in dark 夕	熬夜[áoyè]: to stay up late or all night<br>昼夜[zhòuyè]: day and night, period of 24 hours, continuously, without stop<br>午夜[wǔyè]: midnight
省	frugal, to omit, to economize, to leave out, to save (money)	shěng	xǐng	4	Ideograph - Look 目 less 少	省略[shěnglüè]: to leave out, an omission<br>节省[jiéshěng]: saving, to save, to use sparingly, to cut down on<br>省会[shěnghuì]: provincial capital
初	first, original, junior, early, initial	chū		5	Ideograph - Making cloths 衤by cutting 刀 the cloth 衤	初级[chūjí]: junior, primary<br>最初[zuìchū]: first, primary, initial<br>初步[chūbù]: initial, preliminary, tentative
喜	like, love, enjoy, to be fond of, to like	xǐ		1	Ideograph - Mouth 口 and beating drums 壴, implying happiness	喜欢[xǐhuan]: to like, to be fond of<br>恭喜[gōngxǐ]: congratulations, greetings<br>喜悦[xǐyuè]: happy, joyous
卫	to guard, to protect, to defend, surname Wei	wèi		4	Pictophonetic - Simplified form of 衛, guards walk 行 on the street. 韋 provides the sound	卫生间[wèishēngjiān]: bathroom<br>保卫[bǎowèi]: to defend, to safeguard<br>卫星[wèixīng]: satellite
源	spring, root, source, origin, head	yuán		5	Pictophonetic - Water 氵 suggests the meaning while 原 provides the pronunciation.	能源[néngyuán]: energy resources<br>资源[zīyuán]: natural resource (such as water or minerals), resource (such as manpower or tourism)<br>来源[láiyuán]: source (of information etc), origin
食	meal, food, animal feed, to eat, Kangxi radical 184	shí	sì	5	Pictograph - Picture of a dish of food with a lid on the top to keep it warm.	粮食[liángshí]: grain, food<br>零食[língshí]: between-meal nibbles, snacks<br>食物[shíwù]: food
险	danger, dangerous, rugged, narrow pass, strategic point	xiǎn		4	Pictophonetic - Town 阝 suggests the meaning while 佥 provides the pronunciation.	危险[wēixiǎn]: danger, dangerous<br>保险[bǎoxiǎn]: safe, be sure, insurance<br>冒险[màoxiǎn]: to take risks, to take chances, foray, adventure
待	to treat, to entertain, to receive, to wait, to stay	dài	dāi	5	Pictophonetic - Steps 彳 suggests the meaning while 寺 provides the pronunciation.	对待[duìdài]: to treat, treatment<br>待遇[dàiyù]: treatment, pay, wages, status, salary<br>招待[zhāodài]: to receive (guests), to entertain, reception
述	to state, to tell, to narrate, to relate, to express	shù		5	Pictophonetic - Walk 辶 indicates the meaning while 术 provides the sound	叙述[xùshù]: to relate (a story or information), to tell or talk about, to recount, narration, telling<br>阐述[chǎnshù]: to expound (a position), to elaborate (on a topic), to treat (a subject)<br>陈述[chénshù]: an assertion, to declare, to state
陆	land, continent, six (banker's anti-fraud numeral)	lù	liù	5	Pictophonetic - Wall 阝 with the phonetic componet 击 (simplified form of 坴)	陆地[lùdì]: land, dry land<br>陆续[lùxù]: one after another, in succession<br>登陆[dēnglù]: to land, to come ashore, to make landfall (of typhoon etc), to log in
习	to practice, to study, habit	xí		1	Ideograph - Simplified form of 習, birds practice flying with the wings 羽 in the daytime 白	学习[xuéxí]: to learn, to study<br>习惯[xíguàn]: be used to, usual practice, habit<br>复习[fùxí]: revise, review
置	to install, to place, to put, to lay out, to set aside	zhì		5	Pictophonetic - Putting on a net 罒 suggests the meaning while 直 provides the pronunciation.	位置[wèizhì]: place, position<br>处置[chǔzhì]: to handle, to take care of, to punish<br>安置[ānzhì]: find a place for, help settle down, arrange for, to get into bed, placement
居	to live, to dwell, to reside, residence, house	jū		3	Pictophonetic - Door 尸 (户 altered) implies the meaning while 古 provides the sound	邻居[línjū]: neighborhood<br>居然[jūrán]: unexpectedly, to one's surprise, go so far as to<br>居住[jūzhù]: to reside, to dwell, to live in a place, resident in
劳	to labor, to take the toil, to work, to trouble, to worry	láo		5	Ideograph - a men working 力 with a grass 艹 on his head	劳动[láodòng]: work, labor<br>劳驾[láojià]: excuse me<br>疲劳[píláo]: fatigue, wearily, weariness, weary
财	money, wealth, riches, property, valuables	cái		5	Pictophonetic - Money 贝 with the phonetic component 才(talent)	财产[cáichǎn]: property, possessions<br>发财[fācái]: to get rich<br>财务[cáiwù]: financial affairs
环	bracelet, ring (not for finger), to surround, to loop, loop	huán		3	Pictophonetic - Jade 王 provides the meaning while 不 is the phonetic component	环境[huánjìng]: environment, surroundings<br>耳环[ěrhuán]: earring<br>循环[xúnhuán]: to cycle, to circulate, circle, loop
排	to eliminate, to get rid of, to discharge, to drain, to line up	pái	pǎi	4	Pictophonetic - Hand 扌 suggests the meaning while 非 provides the pronunciation.	安排[ānpái]: to arrange, to plan, to set up<br>排列[páiliè]: array, arrangement, permutation (i.e. ordered choice of n elements out of m)<br>排队[páiduì]: to line up
